Great location - good if you just need a convenient place to stay	67
Great location and great hotel!	100
Perfect short break	100
Right on a secluded beach	88
Pleasant	67
What a cool hotel!	100
My favourite place	96
Good	71
Private Dining Room Hire	100
Very good hotel.	92
Fabulous.	100
Exceptional	96
Great location, very helpful staff	80
Fair	50
Wonderful	92
Very clean. hotel staff nice. parking $22 horrible	80
An amazing little gem of a hotel in Mill Valley	100
Nice place to stay and visit the springs!	83
"Great resort" RRRRelaxing place	80
Centrally located if you have itinerary in Gangnam	80
Wedding Rexeption	100
Good price and efficient to meet people	92
See and hear the ocean up close!	96
Perfect for inner city accommodation	100
A FANTASTIC HOTEL in the HEART of the most POSH LONDON	100
Value in Vanuatu however missing finer details	75
Exceptional	96
Do not recommebd	20
Exceptional	100
Ok hotel	80
Exceptional	92
Well located but poor parking.	79
Will come back!!	100
Very good hotel and amazing food	96
Ok place to stay	71
Great location and clean rooms	100
Great location, great staff, needs updating.	79
Great stsy	100
nice & warm welcome from the staff	83
Tired property	40
Nice room. Clean. Quiet. Breakfast was great. Best breakfast I have had at any hotel.	80
Exceptional	100
Great time as always	80
Awesome!	100
Monkey Mafia	100
Roaches everywhere!	20
Wonderful	92
Wonderful family friendly hotel!	96
Great place to stay	100
Good	75
Large roomy apartment on the waterfront	80
Beautiful Bed and Breakfast Will Be Back	96
Very amazing stay attention to detail A+	100
Wonderful	92
Exceptional	100
Very comfortable	100
Excellent stay at red fox hotel	100
Good 1st visit	80
Stay was good,	75
Good	79
Kids had an amazing stay and mom and dad got to relax! Mission accomplished.	100
The hotel is very average.	60
Relaxed atmosphere	80
MB is ok but there are many better choices on Cannery Row	54
Good	71
Good	79
Okay	58
Honest Review	80
Exceptional	100
Exceptional	100
Exceptional	100
Excellent all-round !	92
Fair	54
Champagne at a beer price	100
Don't book the rooms on 9-th floor .	46
Fabulous hotel right in the centre	100
The WORST since my several times stayed.	58
A good value!	79
Awesome pool, staff great	80
Great stay at Loews Miami Beach!	100
Pleasant experience	80
Mediocre	60
This hotel is disappointing and the pictures online are misleading.	25
Very Good	83
Poor	38
Well-positioned for business trip	80
Good	79
Expected more 4 money!	42
Staff and room cleanliness were an extreme disappointment	20
Convenient, comfortable and affordable	100
Great vacation	100
Ok hotel, good location & great beach	71
Total let down	20
Overall It was a nice stay	71
Beach shack.	67
Nice hotel and staff	100
Worth the stay	92
The Best	100
Good	75
Amazing holiday in Banjaran hotspring retreat	100
Okay	58
Excellent Hotel - would highly recommend	100
On whole it was pleasure to stay	75
Good value and place for a money, the car is mandatory, nothing is reachable by walk.	100
Pleasant	63
Lovely hotel, amazing service!!!	100
Good Location, Superb Value	88
10/10 would stay again	92
Nice hotel close to public transport, crown casino	100
AC not working	40
Wonderful	92
Quiet environment for a three day stay.	80
Average	60
Worst Accomodation Experience Ever	25
Great value	88
Great hotel	100
Good for stopover	92
Fantastic family friendly accommodation.	96
Solid choice for SB stay.	100
Wonderful place.	100
very bad experience	38
A wonderful splurge for your vacation - - worth the money!	96
Under construction	40
Nice stay in Muscat	75
Good	71
Himalaya splendor	79
Close to beach and walks	60
Good location near St Pancras Station.	60
Simply amazing!	100
Wonderful	92
Wonderful experience being so close to parks!	100
Family Vacation	80
No A/C	71
What a great find!	100
A luxury hotel with a great restaurant and excellent staff.	100
Relaxing break	100
Never again	50
Fast service, very clean.	90
Amazing place to stay - hope to return	100
Not bad!	63
Lax tournament	100
Stylish and comfortable	88
Lovely room .	60
reno trip	80
Good	71
every thing is very nice	79
Just a short walk to the beach...	79
Excellent Cost Performance	88
Good	75
Did not enjoy	40
Awesome	100
The worse nights!!!	42
Okay	58
A decent hotel but not a great value	63
The stay was very relaxing.	67
Excellent	88
July 4th Anniversary weekend	96
Awesome location, mediocre service	80
Exceptional	96
Way overpriced and not sure why.	60
4 nights stayed BKK	100
Enjoyed stage	92
Average	60
Would definitely recommend this hotel.	100
Wonderful	92
Larry, Moe and Curly run a beach resort	40
Great stay	100
Best feature: Dog friendly!	80
Very Good	83
Ideally placed and lovely experience hotel	100
Happy Days	100
Perfect little getaway	80
Well worth the stay, friendly staff, clean accommodation	100
Good	71
Good	75
Our stay was good	79
An okay stay	83
Great place to visit	79
Excellent Choice	100
Awesome Hotel!!	100
Exceptional	96
Nice stay	100
Had intentions to go to Legoland but...	80
Champagne standard Chateau.	100
Wasn't bad	60
Great service!	100
Descent	75
Great location	100
wonderful location, staff, accommodations	100
Disappointing	46
Exceptional	96
Exceptional	96
Days away with our dogs	100
Best family facation thus far!!	100
A few bits away from 5 stars	80
Nice hotel fair price	85
Excellent	88
Three Night Stay	80
Good	70
Good time in HK !	100
THE BEST OF BOTH WORLDS	100
Pleasant	67
ONE OF THE BEST HOTELS WE HAVE STAYED IN !!	100
Disappointing	46
Very nice experience	60
Great rooms and service.	100
Excellent Stay and Location	100
FANTASTIC HOTEL!	100
Nice place for a short visit.	92
Brilliant	100
Fair	50
Good	75
Exceptional	100
Wonderful	100
Excellent service and tasty food	100
A Great Conference Center	100
Very Good	83
Adequate for an over night stay.	63
Excellent	88
Exceptional	100
Amazing spot in Soho	100
Will return in future.	75
"Historic" hotel but go somewhere else	40
Fun time	100
Good	75
A place to sleep	67
Very Good	83
Good	75
Quiet very relaxing comfortable	100
Nice.	80
Unconformable bed, no facilities,  way ovee priced	42
Summer in Paradise!	100
Budget hotel near train station	100
Great staff and room	100
Fair	54
Good	75
Very Good	83
Exceptional	100
Exceptional	100
nice clean rooms outside area clean too	100
Not a Great Experience	40
A wonderful value!	96
Well located friendly youth hostel	67
Amazing place, fantastic hotel	100
Good	71
Not as promised	67
Very good inn for the penny pincher	71
Pleasant	67
Nice hotel and nice staff	71
If you like service without a smile, this is your place	67
Good	75
Good location and breakfast.	79
Central location, room was a bit tired	60
Nice and spacious rooms.	100
Impressed with first stay over visit in Clonmel. Will be back!!	79
Pleasant	67
Pleasant	67
Good	71
Location was good.	79
Great location	80
Good but needs to get better	63
A lovely stay in the tarn departement	92
First time we had visited Hobart and the experience was lovely.  The restaurant opposite the	83
Dissatisfying Check-In, But Rest of Stay was Great	80
Charming B&B	100
Short visit athens on the way to cruise	79
Top Location	71
Wonderful	92
Wonderful	92
Incredible location	88
Great location with friendly staff, greta views and excellent food!	100
Exceptional	100
Great rooms	100
Quiet hotel	88
Happy and contented.	100
Another Excellant Stay	100
Last min Nola getaway	80
Beautiful B&B	100
Happy Birthday Canada!	100
Excellent	88
Yoga Retreat at Atrium Prestige	100
Comfortable beds, quiet rooms	80
Exceptional	100
Excellent	88
A great find	80
Faultless.	100
Very good customer service	80
Great stay in Minnemucca!	100
My first time in Citywest	80
Everything except of wifi is fine	75
Great location with great staff	100
good view to Kowloon	80
Exceptional	100
Very cool	88
Super 8  was Super Great we had and awesome getaway	96
Excellent stay	100
Just a basic hotel no frills	67
It's all in the Details	60
Nice hotel, great views of the mediterranean	60
Excellent hotel near Bourbon Street	100
Not up to Hyatt Standards	80
Exceptional	96
Pleasant	67
I wanted a cheap place to get some sleep while passing through London.  This was perfect.	100
Exceptional	100
Good	71
First visit to Rhodes. Excellent holiday.	100
It literally sits on the beach! Beautiful view!	100
Pre-flight stay.	100
Not bad	60
Exceptional	100
Exceptional	100
Nice and Close to the Airport	80
Interesting retro hotel	96
Staff were brilliant	96
Pleasant	67
Top place to stay	100
The only way to stay in Phucket	92
Beautiful getaway	100
If you can afford it, a nice way to enjoy arriving in Santiago!	96
Fantastic	100
Disapointed with hotel	60
Dont stay here	33
Exceptional	100
Sight seeing tour stop over	80
Wonderful	92
Excellent	88
Amazing wedding stay	100
Magic views and good location	71
A dated 1970's experience.	38
2 nite stay	80
VERY EFFICIENT FRONT DESK RHIA	80
Nice week in Alassio 2017	83
The Best Inn in town	96
Horrible Hotel Experience	20
Good	71
Great place to stay for a weekend visit to London	92
Property is farely good but some front desk member is unrespectful and unapproachable.	46
My Experience	100
Friendly Place to Stay!	100
Easy access: airport and old city	100
Pleasant	67
Best Part...Checking Out!	60
First holiday on my own	100
We will definitely be back!	96
We LOVE this place!	96
A must stay!	100
Disappointing	46
Not the place to be on a Sunday! Nothing open in the area except for a greek restaurant. No bar or shop at the hotel	63
Disappointing	42
Exceptional	96
Business Travel To Dubai	100
Great place to stay , second year. Stay in this yo	100
Good hotel	83
Nice but not 5 star	60
Great pool and location	100
Comfort and convenience	100
Great place outside of the downtown area of Galway!	80
Saskatoon, SK	80
Review	60
Very nice	83
We came we saw we did it all !! For a great price!!	100
Close to hospital. Jimmie John Resturant next door	60
Nice	67
Great but bring earplugs	79
Very Good	83
Exceptional	96
Good	58
Excellent value for money.	79
Nice hotel.  7 minutes from airport .	100
Good Option	80
Never again!!!!	67
Bad bad bad	42
Had a blast in Hollywood	88
Nice room	80
Disappointing	46
Centrally Located and good food	100
Value for money and relax place	100
Great hotel!	100
Excellent for our family of 5!	100
Wonderful	92
Awful	20
Very Good	83
Great hotel but room walls too thin.	80
The very worst experience I have ever had	20
Excellent	88
Disappointed.	42
Lovely holiday	100
Nice and comfortable	100
Location was the reason...	20
Good	79
Nice	96
Okay	58
Great stay	79
Comfy and convenient	67
enjoyable,	67
An example of a good Hotel	100
Nice get away	83
Just passing through	92
Historic coaching in centre of pretty Cotswold town - good food and service	71
Well equipped unit BUT it needs a proper sofa bed	67
Very Good	83
Okay	58
Great Hotel! Great Value!	88
Another wonderful stay at the William Penn	100
Great relaxing experience!!!	100
TERRIBLE HOTEL	20
Fantastic hotel! Very satisfied.	100
Good location, close to restaurants & shops	83
Very Good	83
Exceeded all Expectations	100
Pleasant	63
Extraordinary place	100
Great value. Bed extremely comfortable. Adequate breakfast.	92
A needed break.	80
Exceptional	100
Disappointing	46
Great location and facilities	79
Best Hotel in Makkah	100
THE BEST IN DUBUQUE!! Everyone should experience Hotel Julien at least once. It's Beautiful, friendly, and clean.	100
Lovely hotel	96
Good	71
Awesome Hotel in Toronto	100
One night stay before Broome cruise	100
Poor Services	40
Nice lobby but rooms were tiny and uncomfortable beds	60
Basic	60
Convenient location, comfortable accommodation, value for money	92
Would not recommend this location	29
was ok not worth the money	42
Very happy with the experience	100
A friendly hotel in the middle of Manhattan	80
Great 2 nights in Florence with young kids	83
Comfortable, terrific view	80
excellent hotel and perfect location	100
Great location but a palace no more.	67
There's less here than meets the eye.	63
Just not xomfortable	42
Excellent location, nice and clean rooms, cool decor, pleasant stay!	71
Good but not Great	80
Fair	54
Perfect place to stay before flying out of Frankfurt airport	88
Excellent value for money great location	92
Affordable Luxury in Heart of Seminyak	100
Poor	38
Fab hotel in a very central location	100
Unsatisfied	40
Absolutely fantastic!!	100
2.5	54
Dissapointing	38
Great spot!	100
Great place	100
Barely worth it but doable.	63
Wonderful spot to see the tigers!	88
The bedding wasn't clean and I didn't receive any help with my luggage nor with the wheelchair to get to my room.	20
Lovely weekend break	88
Excellent	88
Very cool B&B	100
was ok in total	83
Minimalist hotel with sketchy parking	60
Good central position.	79
Above & beyond......	100
Nice place, great beds - BUT double standards on "double beds	58
Awsome place 2 stay	100
Good	71
Location and service excellent	90
Greaat	67
Holiday	100
Exceptional	96
Great Hotel in Greece	100
Disappointing all around	40
Great view!	96
An Absolutely Lovely Experience	100
Awesome Stay!	100
trams at BLACKPOOL	100
Excellent location	80
Great location when having to be downtown early in the morning.	75
Nice hotel	96
extremely dated hotel	40
Value for money in low season.	71
Weekend in dublin	100
Exceptional	100
Fabulous- Excellent- Go!	100
Excellent Stay, Awesome Staff with good services.	100
Family friendly vacation!	71
Great Hotel Great People	100
Excellent	88
Exceptional	96
Best place for budget travelers	100
Not a 4 star	60
Nice property close to South Beach - located in Mid Beach on the Atlantic	100
Great	92
Great location to D.C. Sights	100
Good location	50
Comfortable	100
Super location and excellent views	79
Park, sleep, and fly!	100
Ok. Not sure if ill recommend in the future	67
Good	79
Outstanding	100
I met the owners	100
